id,unit,file,source_locator,category,source_issue,target_action,status,evidence
O003-C100,chapter_10_closed_sets_metric,repo/source/sec_closed_limits_seq.ptx,authority lines 12-15,mathematical_indexing,"the sequence a_n=1/n indexed by every positive integer is claimed to lie in A=(0,1), but a_1=1 is not in A","use a_n=1/(n+1) for every positive integer n",verified,"the repaired sequence lies in both A=(0,1) and B=[0,1] and retains the intended limit 0 with standard positive-integer indexing"
O003-C101,chapter_10_closed_sets_metric,repo/source/sec_closed_set_exer.ptx,authority line 40,mathematical_notation,"the set-builder expression for {1/n} omits its bound variable after the vertical bar","insert n before the membership relation n in Z+",verified,"the numerator sequence and positive-integer domain require the missing index n"
O003-C102,chapter_10_closed_sets_metric,repo/source/sec_closed_set_exer.ptx,authority line 90,mathematical_identity,"the asserted identity A union A^i = A union A' is false in general because A^i is already contained in A","replace the left side with A' union A^i",verified,"every point of A is either a limit point or an isolated point in a metric space; hence A' union A^i equals A union A' and the next task states the needed containment"
O003-C103,chapter_10_closed_sets_metric,repo/source/sec_closed_set_exer.ptx,authority lines 204-207,mathematical_notation,"the prose defines the distance from x to A but the displayed left side is d(a,X)","replace d(a,X) with d(x,A)",verified,"the infimum on the right is over a in A of d(x,a), and the following statement uses the same point-to-set notation"
O003-C104,chapter_10_closed_sets_metric,repo/source/sec_closed_sets_metric.ptx,authority line 106,mathematical_attribution,"the complement-of-intersection identity is attributed to DeMoivre's Theorem","identify it as De Morgan's law",verified,"the displayed identity is the arbitrary-family form of De Morgan's law, not de Moivre's formula"
O003-C105,chapter_10_closed_sets_metric,repo/source/sec_closed_sets_metric.ptx,authority line 112,source_prose,"the clause and so it an open set omits the verb is","translate the intended clause as and therefore it is an open set",verified,"the subject is an arbitrary union of open sets and the conclusion requires the copula"
O003-C106,chapter_10_closed_sets_metric,repo/source/sec_cont_closed_sets.ptx,authority line 15,source_prose,"the phrase Let f be a function f repeats the function symbol","recast the sentence as f is given and this function f maps X to Y while retaining both source math nodes",verified,"the sentence introduces one function f from X to Y and the structural translation keeps the source mathematics intact"
O003-C107,chapter_10_closed_sets_metric,repo/source/sec_closed_set_summ.ptx,authority line 29,mathematical_notation,"the ambient metric-space expression is written =(R,d_E) with a spurious leading equals sign","remove the leading equals sign",verified,"the phrase is as a subset of (R,d_E) and no equation occurs at that point"
O003-C108,chapter_10_closed_sets_metric,repo/source/sec_closed_set_summ.ptx,authority lines 50-51,mathematical_equivalence,"the summary states only that closed preimages imply continuity although the chapter theorem proves an equivalence","state if and only if",verified,"thm_closed_sets_continuity_MS in the same chapter gives both directions"
O003-C109,chapter_10_closed_sets_metric,repo/source/sec_limit_bound_iso_seq.ptx,authority lines 58 and 81,source_prose,"plural sequences is paired with singular converges in two sentences","translate with plural agreement",verified,"both clauses have sequences as their grammatical subject"
O003-C110,chapter_10_closed_sets_metric,repo/source/sec_limit_closed.ptx,authority line 74,source_prose,"the question What does the conclusion of part (b) tells us has an inflected verb after does","translate the intended question What does the conclusion of part (b) tell us",verified,"English auxiliary does requires the base verb tell"
O003-C111,chapter_10_closed_sets_metric,repo/source/sec_closed_set_summ.ptx,authority lines 3-96,audit_reversal,"an earlier derivative audit incorrectly classified the source list nested in a paragraph as invalid","restore the source-valid nested list topology",superseded,"the pinned PreTeXt 1.7.5 TextParagraph model explicitly permits List; moving the list to section level is invalid and the cumulative Chapters 1-11 wrapper passes only after restoration"
O003-C112,chapter_10_closed_sets_metric,repo/source/sec_limit_bound_iso_seq.ptx,authority lines 58 and 73-82,mathematical_scope,"the prose can be read as claiming that the singular constant sequence (a) is the only sequence in A converging to isolated point a, although sequences with arbitrary finite prefixes also converge to a","state that every sequence in A converging to a is eventually constant with value a",verified,"isolation forces all sufficiently late terms to equal a but imposes no restriction on a finite initial segment; the converse follows from the same eventual-constancy condition"
O003-C113,chapter_11_metric_subspaces_products,repo/source/sec_sub_metric_intro.ptx,authority lines 28-54 especially 36-49,schema_structure,"a semantic definition is nested inside a task statement and violates the pinned PreTeXt content model","split the exploration at that point and place the unchanged definition at section level while preserving its exact reading order index and mathematics",verified,"the resulting cumulative wrapper passes pinned PreTeXt validation and preserves the prompt-definition-prompt reading sequence"
O003-C114,chapter_11_metric_subspaces_products,repo/source/sec_open_closed_sub.ptx,authority lines 21-28,mathematical_scope,"openness of O_A supplies a ball only for each a in O_A rather than for every a in A","replace the quantified set A with O_A",verified,"the defining union and all subsequent uses already range over O_A"
O003-C115,chapter_11_metric_subspaces_products,repo/source/sec_open_closed_sub.ptx,authority lines 63-75,mathematical_containment,"the reverse-implication activity asks for a ball in A contained in A which is automatic and does not prove openness","ask for the natural ball B_A(a,delta) contained in O_A",verified,"B_A(a,delta)=B_X(a,delta) intersection A is contained in O_X intersection A=O_A"
O003-C116,chapter_11_metric_subspaces_products,repo/source/sec_prod_metric.ptx,authority lines 4 and 12,mathematical_variable,"the first factor is introduced twice as (X,d_1) although every product and coordinate uses X_1","replace X with X_1 in both factor declarations",verified,"the paired factor is X_2 and all displayed domains and coordinates use X_1 times X_2"
O003-C117,chapter_11_metric_subspaces_products,repo/source/sec_prod_metric.ptx,authority lines 60-75,mathematical_inequality,"the triangle proof falsely drops a positive cross term and asserts d(x,z)^2 is at most d(x,y)^2+d(y,z)^2","apply Cauchy-Schwarz to bound the cross term and obtain d(x,z)^2 at most (d(x,y)+d(y,z))^2 before taking square roots",verified,"Cauchy-Schwarz gives d_1(x_1,y_1)d_1(y_1,z_1)+d_2(x_2,y_2)d_2(y_2,z_2) at most d(x,y)d(y,z)"
O003-C118,chapter_11_metric_subspaces_products,repo/source/sec_prod_metric.ptx,authority lines 85-90,mathematical_ambient_space,"the real intervals [1,2] and [3,4] are called subspaces of R squared without an embedding","replace the ambient space with (R,d_E)",verified,"their Cartesian product is then the intended rectangle in R squared"
O003-C119,chapter_11_metric_subspaces_products,repo/source/sec_prod_metric.ptx,authority lines 134-143,mathematical_scope,"any number overclaims the displayed unweighted Euclidean construction while the following definition quantifies only i=1 through n","state any finite number of metric spaces",verified,"the displayed sum and product are finite and indexed by a positive integer n"
O003-C120,chapter_11_metric_subspaces_products,repo/source/sec_sub_metric_summ.ptx,authority lines 15-17,mathematical_containment,"the relative-open summary writes O_A=X intersection O which collapses to O","replace X with the subspace A",verified,"this matches thm_relatively_open_ms in the same chapter"
O003-C121,chapter_11_metric_subspaces_products,repo/source/sec_sub_metric_summ.ptx,authority lines 18-21,mathematical_complement,"the first closed-set characterization writes C_A=A intersection O_A for open O_A and therefore describes an open set","restore the definition C_A=A setminus O_A",verified,"the subsequent ambient-closed intersection characterization remains correct"
O003-C123,chapter_11_metric_subspaces_products,repo/source/sec_sub_metric_exer.ptx,authority line 6,mathematical_classification,"the pair (R,d_E) is called a topological space although d_E is a metric rather than a topology","replace topological space with metric space",verified,"the chapter and exercise use the Euclidean metric and metric-subspace definition"
O003-C124,chapter_11_metric_subspaces_products,repo/source/sec_sub_metric_exer.ptx,authority lines 65-74,function_domain,"the sum-distance rule takes two points of X times Y but its declared function domain contains only one product point","declare d from (X times Y) times (X times Y) to R",verified,"the displayed rule has ordered-pair arguments (x_1,y_1) and (x_2,y_2)"
O003-C125,chapter_11_metric_subspaces_products,repo/source/sec_sub_metric_exer.ptx,authority lines 79-89,function_domain,"the finite-product metric has only the point space as its function domain and then refers to undefined X","define X as the finite product and declare d from X times X to R",verified,"the displayed rule evaluates d(x,y) for two elements x and y of that finite product"
O003-C126,chapter_11_metric_subspaces_products,repo/source/sec_sub_metric_exer.ptx,authority lines 165-170,mathematical_domain,"the function f is declared only on E^m but the asserted distance identity quantifies arbitrary elements of H","replace H with E^m in that quantifier",verified,"f((x_n)) and f((y_n)) are defined only when both sequences lie in E^m"
O003-C127,chapter_11_metric_subspaces_products,repo/source/sec_sub_metric_exer.ptx,authority lines 226-243,function_domain,"both true-false product-distance functions take two product points but are declared only on X times Y","declare each function from (X times Y) times (X times Y) to R",verified,"each displayed rule has two ordered-pair arguments"
O003-C128,chapter_11_metric_subspaces_products,repo/source/sec_sub_metric_exer.ptx,authority lines 35-37,mathematical_notation,"the subspace metric is abbreviated as d restricted to O although its two-variable domain is O times O","write the restricted metric as d restricted to O times O",verified,"the chapter definition declares a subspace metric by restricting d to A times A"
O003-C129,chapter_08_open_sets,repo/source/sec_cont_open_sets.ptx,authority lines 93-111,schema_structure,"the named corollary is nested inside an activity introduction whose content model does not admit theorem-like blocks","move the unchanged corollary and its lead sentence immediately before the activity while retaining the proof setup inside the activity introduction",verified,"the xml:id mathematics statement and reading order are preserved and the cumulative Chapters 1-11 wrapper passes the pinned PreTeXt 1.7.5 RelaxNG schema"
O003-C130,chapter_09_sequences,repo/source/sec_seq_exer.ptx,authority lines 95-115,schema_structure,"a named theorem is nested inside a task statement whose content model does not admit theorem-like blocks","move the unchanged theorem to the permitted exercises-level introduction while retaining the source task prompt and all mathematics",verified,"the theorem subtree is preserved verbatim in the derivative and the cumulative Chapters 1-11 wrapper passes the pinned PreTeXt 1.7.5 RelaxNG schema"
O003-C131,chapter_12_topological_spaces,repo/source/sec_neighborhood_top_space.ptx,authority line 4,mathematical_variable,"the neighborhood definition says an open ball is centered at X although the point introduced is a","replace X with a in the translated reader and preserve the intended neighborhood definition",verified,"a neighborhood of a point a is defined using a ball centered at a; no other mathematics changed"
O003-C132,chapter_12_topological_spaces,repo/source/sec_top_space_exer.ptx,authority line 63,mathematical_notation,"the exercise writes x in Z without the intended integer-number-set macro","render the set as x in \\Z in the translated reader",verified,"the correction restores the declared ambient set and is the only non-text formula change in the file"
O003-C133,chapter_12_topological_spaces,repo/companion/chapter_12_source_guides_a.ptx,companion guide 01,mathematical_typing,"the source writes tau={a,b}, which is a set of points rather than a collection of subsets; the intended singleton collection is ambiguous","state the literal type error and separately solve the intended tau={{a,b}} reading",verified,"the companion now preserves the source while making both readings explicit"
O003-C134,chapter_12_topological_spaces,repo/companion/chapter_12_source_guides_a.ptx,companion guide 04,mathematical_closure,"adding only {a,b,c} does not close the source collection under unions; {a} union {b,d} forces {a,b,d}, and further missing subsets follow","add the missing pair {b,c} and four missing three-element subsets; identify the resulting power-set topology",verified,"finite closure computation gives all 16 subsets of X and proves the five additions are necessary"
O003-C135,chapter_12_topological_spaces,repo/companion/chapter_12_source_guides_a.ptx,companion guide 05,coverage_and_naming,"the source prompt asks for three finite and three nonfinite examples, and the original title conflated finite-subset collection with the cofinite topology","include the requested examples and rename the guide to distinguish the failed finite-subset collection from the cofinite topology",verified,"the corrected guide answers every source subprompt and preserves the established glossary distinction"
O003-C136,chapter_12_topological_spaces,repo/source/sec_base_top.ptx,authority line 38,mathematical_notation,"the finite topology collection closes with X) rather than the required set brace X}","replace the closing parenthesis with the set delimiter and preserve the listed topology",verified,"the correction restores the displayed collection as a set and changes no membership or topology claim"
O003-C137,chapter_12_topological_spaces,repo/source/sec_base_top.ptx,authority proof paragraph after thm_Basis,logical_scope,"the proof begins by calling X a topological space even though the theorem is constructing tau as a topology on a set X","translate X as a set in the proof and retain the theorem's stated construction",verified,"this removes circular wording without changing the basis conditions or proof steps"
O003-C138,chapter_12_topological_spaces,repo/source/sec_base_top.ptx,authority line 337,logical_scope,"the discrete-topology basis task asks about a symbol tau that is not defined in that task","refer directly to the discrete topology on X, whose topology is already defined as the power set",verified,"the clarification makes the intended topology explicit without changing the candidate basis or requested minimal addition"
O003-C139,chapter_12_topological_spaces,repo/source/sec_interior_set_top.ptx,authority line 122,mathematical_variable,"the theorem calls (X,d) a topological space although d is not a metric and the chapter uses a topology","write (X,\\tau) in the translated theorem statement",verified,"the theorem concerns an arbitrary topological space, so tau is the correct structure symbol"
O003-C140,chapter_12_topological_spaces,repo/source/sec_interior_set_top.ptx,authority line 154,mathematical_variable,"the follow-up activity repeats (X,d) for an arbitrary topological space","write (X,\\tau) in the translated activity introduction",verified,"the activity proves the topological-interior maximality statement and assumes no metric"
O003-C141,chapter_12_topological_spaces,repo/source/sec_top_space_exer.ptx,authority line 576,typographical,"the Zariski/cofinite equivalence sentence misspells Zariski as Zaariski in its second occurrence","retain the corrected Zariski spelling in the Indonesian derivative",verified,"the translated sentence already uses the standard name consistently; no mathematical content changes"
O003-C142,chapter_12_topological_spaces,repo/source/sec_top_space_exer.ptx,authority line 630,mathematical_notation,"the finite topology list contains the malformed entry {a,b,c,}","close the set as {a,b,c} in the translated exercise",verified,"the intended subset is unambiguously the three-element set and the surrounding list uses the same notation"
O003-C143,chapter_12_topological_spaces,repo/source/sec_top_space_exer.ptx,authority lines 274-278,enumeration_scope,"the prose says the display contains 9 topologies but the numbered list has 10 entries; the strict chain instruction excludes item 1 as a target","identify item 1 as the indiscrete starting topology and items 2-10 as the nine target topologies",verified,"the repair reconciles the stated count with all ten displayed entries and preserves the strict inclusion chain requested by the exercise"
O003-C144,chapter_12_topological_spaces,repo/source/sec_base_top.ptx,authority lines 141-177,schema_structure,"the lemma element is nested after a statement inside a task, a structure rejected by the pinned PreTeXt schema","move the intact lemma subtree outside the containing activity to the following section-level position while preserving its id and content",verified,"the repair changes only schema-invalid containment; the learner task still asks for the same induction proof and the lemma remains immediately adjacent"
O003-C145,chapter_12_topological_spaces,repo/source/sec_top_space_summ.ptx and repo/source/sec_top_space_exer.ptx,authority lines 151-176 of sec_top_space_exer.ptx,schema_structure,"the coarser/finer definition is nested inside an exercise introduction, which the pinned PreTeXt schema rejects","move the intact definition subtree to the immediately preceding chapter summary section and retain the exercise's contextual lead-in",verified,"the xml:id def_weaker_topologies, mathematical content, terminology, and later cross-chapter xref target are preserved; only the schema-invalid container changes"
O003-C146,chapter_13_closed_sets_in_topological_spaces,repo/source/sec_union_inter_closed.ptx,authority proof of thm_closed_TS part 2,mathematical_notation,"the finite-union proof first defines C as an intersection and then switches to an arbitrarily indexed family even though only C_1 through C_n were introduced","define C as the finite union and use k=1 through n consistently in De Morgan's identity and the conclusion",verified,"the repair makes the proof establish the theorem's stated finite-union claim and changes no hypothesis"
O003-C147,chapter_13_closed_sets_in_topological_spaces,repo/source/sec_top_closure.ptx,authority activity introduction,mathematical_variable,"the activity calls (X,d) a topological space although no metric d is assumed and the chapter uses a topology","write (X,\tau) in the translated activity introduction",verified,"the activity concerns arbitrary topological closure and uses no metric hypothesis"
O003-C148,chapter_13_closed_sets_in_topological_spaces,repo/source/sec_top_closure.ptx,authority proof of thm_TS_closure_closed,logical_scope,"the proof calls an open set O centered at x, language that is metric-specific and does not state the needed topological containment relation","state that the open set O contains x and satisfies O subseteq N",verified,"this is exactly the neighborhood property used by the proof and adds no separation or metric assumption"
O003-C149,chapter_13_closed_sets_in_topological_spaces,repo/source/sec_separation_ax.ptx,authority lines 28 and 35,mathematical_notation,"the metric-space separation activity first names B(x,r) and B(y,s) but then uses undefined B_x and B_y; its next task swaps the named radii in the intersection","use B(x,r) intersect B(y,s) in both tasks",verified,"the repair uses exactly the two balls selected in the preceding sentences and preserves the disjointness argument"
O003-C150,chapter_13_closed_sets_in_topological_spaces,repo/source/sec_separation_ax.ptx,authority line 65,typographical,"the Hausdorff index entry is misspelled Hausdoff","use Hausdorff consistently in the Indonesian index and prose",verified,"the proper name and immediately following definition make the intended spelling unambiguous"
O003-C151,chapter_13_closed_sets_in_topological_spaces,repo/source/sec_separation_ax.ptx,authority lines 121-122,mathematical_classification,"the K-topology discussion calls (a,b) setminus K an interval although removing K can disconnect it","describe (a,b) setminus K as a set of the stated form rather than as an interval",verified,"the basis element is unchanged and the repair removes a false geometric classification"
O003-C152,chapter_13_closed_sets_in_topological_spaces,repo/source/sec_separation_ax.ptx,authority lines 284-287,definition_scope,"the Niemytzki-plane paragraph calls L the boundary without naming the ambient Euclidean space and does not state that ordinary open basis disks stay above L","identify L as the Euclidean boundary of X in R^2 and require ordinary basis disks to lie wholly above L",verified,"these are the conditions needed for the standard Niemytzki-plane basis and do not alter the underlying topology"
O003-C153,chapter_13_closed_sets_in_topological_spaces,repo/source/sec_closed_sets_top_exer.ptx,authority lines 155-157,mathematical_scope,"the density task calls A a subset of a topological space A and quantifies over every open set although the empty open set can never meet A","use ambient space X and quantify over every nonempty open set O",verified,"this is the standard open-set characterization of density and removes both the variable collision and empty-set counterexample"
O003-C154,chapter_13_closed_sets_in_topological_spaces,repo/source/sec_closed_sets_top_exer.ptx,authority line 288,cross_reference,"the exercise prints the raw identifier (ex_aZ_top) instead of linking to the earlier exercise","replace the raw identifier with xref ref=ex_aZ_top",verified,"the target exists in the admitted cumulative source and the link now resolves normally"
O003-C155,chapter_13_closed_sets_in_topological_spaces,repo/source/sec_closed_sets_top_exer.ptx,authority lines 347-353,definition_scope,"the Double Origin neighborhood formulas use radius 1/r without stating the required positivity of r","state that r is a positive parameter for both displayed neighborhood families",verified,"positivity is required for the intended positive disk radius and is shared by both definitions"
O003-C156,chapter_13_closed_sets_in_topological_spaces,repo/source/sec_closed_sets_top_exer.ptx,authority lines 357 and 360,geometric_description,"the formulas y>0 and y<0 omit the x-axis but the prose says the y-axis is omitted","identify the omitted axis as the x-axis in both descriptions",verified,"the correction follows directly from the displayed inequalities and preserves the added origins"
O003-C157,chapter_13_closed_sets_in_topological_spaces,repo/source/sec_closed_sets_top_exer.ptx,authority lines 430 and 455,mathematical_variable,"the discrete-line exercise asks for complements in an undefined ambient X although the entire exercise is in (Z,tau_dl)","write Z setminus closure(A) and Z setminus closure(B)",verified,"the repaired ambient set is fixed by the exercise introduction"
O003-C158,chapter_13_closed_sets_in_topological_spaces,repo/source/sec_closed_sets_top_exer.ptx,authority line 466,logical_scope,"the metric regularity exercise assumes x lies outside C and then states d(x,C)=0 iff x lies in C, a contradictory restriction that erases the cited characterization","for nonempty closed C quantify over every x in X before stating d(x,C)=0 iff x is in C",verified,"this matches the cited point-to-set-distance exercise and supplies the useful closed-set characterization"
O003-C159,chapter_13_closed_sets_in_topological_spaces,repo/source/sec_closed_sets_top_exer.ptx,authority line 502,mathematical_notation,"the K-topology exercise uses the plain letter R rather than the real-number macro in one occurrence","write (\\R,\\tau_K) consistently",verified,"the preceding and following occurrences identify the intended real line unambiguously"
O003-C160,chapter_13_closed_sets_in_topological_spaces,repo/source/sec_closed_sets_top_exer.ptx,authority line 489,logical_direction,"the introduction says that B generates tau_K because tau_K is finer than the Euclidean topology, reversing the construction and its consequence","state that B is a basis for tau_K and then infer fineness from B containing all ordinary open intervals",verified,"basis generation defines the topology; containment of the Euclidean basis proves the stated comparison in the correct direction"
O003-C161,chapter_13_closed_sets_in_topological_spaces,repo/source/sec_closed_sets_top_exer.ptx,authority lines 253-261,schema_structure,"a definition block is nested inside a divisional-exercise introduction where the pinned PreTeXt schema permits paragraph-level introductory content but not a block definition","preserve the complete definition and index term as an explicitly labeled definition paragraph inside the same introduction",verified,"the repair is reader-equivalent and makes the cumulative source conform to the frozen PreTeXt 1.7.5 RelaxNG model"
O003-C162,chapter_14_continuity_and_homeomorphisms,repo/source/sec_cont_top_intro.ptx,authority line 188,mathematical_notation,"the inverse-image expression is malformed as f^{-1}O), with a missing opening parenthesis","write f^{-1}(O) consistently with the surrounding proof",verified,"the theorem and every adjacent occurrence identify the same inverse image unambiguously"
O003-C163,chapter_14_continuity_and_homeomorphisms,repo/source/sec_cont_top_intro.ptx,authority line 166,mathematical_variable,"the basis activity calls both spaces topological but denotes them by metric symbols (X,d_X) and (Y,d_Y), although no metrics are assumed","write (X,\\tau_X) and (Y,\\tau_Y) in the translated activity",verified,"the task invokes a basis for the topology and the open-set characterization, so topology symbols are the exact structures in scope"
O003-C164,chapter_14_continuity_and_homeomorphisms,repo/source/sec_cont_top_intro.ptx,authority line 252,typographical,"topological is misspelled as topologicval in the closed-set characterization theorem","use ruang topologi in the Indonesian derivative",verified,"the theorem statement and notation make the intended word certain and no mathematical content changes"
O003-C165,chapter_14_continuity_and_homeomorphisms,repo/source/sec_cont_top_intro.ptx,authority lines 111-129,schema_structure,"the formal open-function definition is nested inside a task statement, where the pinned PreTeXt schema does not permit a block definition","move the intact definition subtree to the section level immediately after the containing exploration",verified,"all definition text, index entries, mathematical content, and surrounding inquiry tasks are retained; only the invalid container and block position change"
O003-C166,chapter_14_continuity_and_homeomorphisms,repo/source/sec_metric_equiv.ptx,authority lines 86-100,definition_consistency,"the prose calls any distance-preserving function an isometry while the immediately following formal definition requires a distance-preserving bijection","state in the prose that the function is bijective, preserving the book's explicit formal convention",verified,"the repair reconciles adjacent statements without broadening the definition or changing the metric-equivalence criterion"
O003-C167,chapter_14_continuity_and_homeomorphisms,repo/source/sec_top_equiv.ptx,authority line 17,mathematical_variable,"the definition calls (X,d_X) and (Y,d_Y) topological spaces although no metrics are assumed","write (X,\tau_X) and (Y,\tau_Y) consistently with the immediately following homeomorphism definition",verified,"the definition concerns arbitrary topological spaces and therefore requires topology symbols rather than metric symbols"
O003-C168,chapter_14_continuity_and_homeomorphisms,repo/source/sec_top_equiv.ptx,authority lines 50-53,typographical,"the homeomorphic-spaces sentence says the spaces (X,\tau_X) to (Y,\tau_Y) are homeomorphic","join the two named spaces with and in the Indonesian sentence",verified,"the subject consists of the two spaces and the source's second to is an unambiguous grammatical slip"
O003-C169,chapter_14_continuity_and_homeomorphisms,repo/source/sec_top_equiv.ptx,authority lines 60-69,mathematical_exposition,"the transition claims continuity of a homeomorphism ensures a smooth deformation and that metric distortion must be globally bounded","state that a homeomorphism preserves topological structure but need not be differentiably smooth or globally bi-Lipschitz; present two-sided distance bounds as the stronger sufficient condition proved next",verified,"homeomorphisms need not be smooth or globally Lipschitz, while the immediately following theorem correctly proves that two-sided global Lipschitz bounds imply topological equivalence"
O003-C170,chapter_14_continuity_and_homeomorphisms,repo/source/sec_top_equiv.ptx,authority lines 136-139,typographical,"the final activity uses awkward interrogative grammar and ends the question with a period","render it as a direct Indonesian question with a question mark",verified,"the following instruction to explain confirms the sentence is a question"
O003-C171,chapter_14_continuity_and_homeomorphisms,repo/source/sec_relations.ptx,authority lines 49-57,logical_scope,"the symmetry and transitivity clauses say 'whenever ... in S' without explicitly quantifying the elements","state that the implications range over every relevant pair or triple of elements, while preserving the original math nodes and relation order",verified,"the definition is intended as a relation on S and the added quantifier scope removes ambiguity without changing its meaning"
O003-C172,chapter_14_continuity_and_homeomorphisms,repo/source/sec_relations.ptx,authority lines 82-90,logical_scope,"the two learner tasks call metric and topological equivalence an equivalence relation without naming the collection on which the relation is considered","scope each task to any chosen set of metric spaces or topological spaces",verified,"an equivalence relation is defined on a set; the scoped wording prevents an unintended proper-class reading and preserves the requested proof task"
O003-C173,chapter_14_continuity_and_homeomorphisms,repo/source/sec_top_invar.ptx,authority line 28,grammar,"the activity asks whether X and Y are a singular homeomorphic space although it names two spaces","render X and Y as homeomorphic spaces in the Indonesian activity",verified,"the task compares two topological spaces and the plural wording removes an unambiguous number mismatch"
O003-C174,chapter_14_continuity_and_homeomorphisms,repo/source/sec_top_invar.ptx,authority line 35,terminology_spelling,"the Indonesian draft used indisret instead of the established Indonesian topology spelling indiskret","normalize the learner task to topologi indiskret",verified,"indiskret is the established corpus term and the correction changes no mathematical content"
O003-C175,chapter_14_continuity_and_homeomorphisms,repo/source/sec_cont_top_summ.ptx,authority line 20,grammar,"the metric-equivalence summary says there is a isometry","render the article-correct Indonesian sentence as terdapat isometri",verified,"the source article is grammatically incorrect and the mathematical assertion is unchanged"
O003-C176,chapter_14_continuity_and_homeomorphisms,repo/source/sec_cont_top_summ.ptx,authority line 23,grammar,"the topological-equivalence summary says there is a homeomorphism between X to Y","render the relation as a homeomorphism antara X dan Y",verified,"between requires the conjunction and; the correction preserves the intended pair of spaces"
O003-C177,chapter_14_continuity_and_homeomorphisms,repo/source/sec_cont_top_summ.ptx,authority line 34,grammar,"the invariant summary omits the article in the phrase that topological space X has","render the Indonesian clause as sifat yang dimiliki ruang topologi X",verified,"the repaired clause identifies X as the space possessing the property without changing the definition"
O003-C178,chapter_14_continuity_and_homeomorphisms,repo/source/sec_cont_top_exer.ptx,authority line 557,grammar,"the discrete-topology true/false statement says X and Y are topological space","render the Indonesian statement with the plural ruang topologi",verified,"the sentence names two spaces and the plural form removes an unambiguous number mismatch"
O003-C179,chapter_14_continuity_and_homeomorphisms,repo/source/sec_cont_top_exer.ptx,authority lines 193-218,grammar,"the introduction begins with an ungrammatical fragment before defining the two point topologies and their status as topologies","render the Indonesian introduction as a complete definition and a factual cross-reference",verified,"the intended definition and the two cited exercises are explicit; the repair changes no topology or xref"
O003-C180,chapter_14_continuity_and_homeomorphisms,repo/source/sec_cont_top_exer.ptx,authority lines 538-540,grammar,"the finite-complement true/false statement uses the fragment f(x)=x^2 mapping ... is continuous","render it as the map f(x)=x^2 from one named topological space to the other",verified,"the mathematical map and source spaces are unchanged while the sentence becomes syntactically complete"
O003-C181,chapter_14_continuity_and_homeomorphisms,repo/source/sec_cont_top_exer.ptx,translated lines 164 and 255-256,terminology_consistency,"the first Indonesian exercise draft used Euclides although the established corpus spelling is Euklides","normalize all three occurrences to topologi Euklides or topologi metrik Euklides",verified,"the terminology ledger and prior admitted chapters consistently use Euklides"
O003-C182,chapter_15_subspaces,repo/source/sec_sub.ptx,authority line 40,logical_scope,"the task conclusion refers to item (1) although no stable generated label is guaranteed and then says any subset despite the chapter's explicit nonempty-subspace convention","refer to the result above and state every nonempty subset consistently with the adjacent exploration and formal definition",verified,"the correction removes an unstable display-label dependency and aligns the conclusion with both explicit nonempty hypotheses without changing the constructed topology"
O003-C183,chapter_15_subspaces,repo/source/sec_base_sub.ptx,authority line 40,mathematical_notation,"the basis-intersection task writes B in plain italic although the surrounding section defines and consistently uses the basis family macro \\B","replace B by the established \\B macro in that membership expression",verified,"the plain symbol is undefined in context; the repair restores the stated basis family without changing the proof task"
O003-C184,chapter_15_subspaces,repo/source/sec_sub_summ.ptx,authority line 21,grammar,"the singular subject a relatively closed set is paired with the plural predicate are the sets","render the Indonesian summary with the singular form suatu himpunan tertutup relatif berbentuk A intersection C",verified,"the number repair preserves the exact intersection characterization"
O003-C185,chapter_15_subspaces,repo/source/sec_sub.ptx,authority lines 28-35,schema_structure,"the raster figure is nested inside an exploration introduction where the pinned PreTeXt schema does not admit that figure model or an accessibility description","move the complete figure block to section level immediately before the exploration and add a faithful Indonesian description",verified,"all figure content and the stable ID are retained; the new location is schema-valid and the xref remains resolved"
O003-C186,chapter_15_subspaces,repo/source/sec_sub.ptx,authority lines 43-55,schema_structure,"a formal definition is nested inside a task statement where the pinned PreTeXt schema does not admit it","move the complete definition block to section level immediately after the exploration",verified,"the stable ID index definition statement and mathematics are unchanged while the source becomes schema-valid"
O003-C187,chapter_15_subspaces,repo/source/sec_sub_exer.ptx,authority lines 89-97,schema_structure,"a formal definition and its statement shell are nested inside an exercise statement where the pinned PreTeXt schema does not admit them","remove only the two invalid ancestor shells retain the index entry in the introductory paragraph and retain the defining paragraph as the next paragraph of the same exercise statement",verified,"all reader-facing definition content terminology mathematics and the exercise prompt remain in order while the chapter validates"
O003-C188,chapter_16_quotient_spaces,repo/source/sec_quotients.ptx,authority line 18,terminology_typo,"the English source says congruence module n although the established arithmetic relation is congruence modulo n","render the Indonesian sentence as relasi kongruensi modulo n",verified,"module is an unambiguous typographical substitution; the correction restores the standard relation without changing any formula"
O003-C189,chapter_16_quotient_spaces,repo/source/sec_quotient_top.ptx,authority line 4,mathematical_object,"the English source calls the resulting object on Y a function although the construction defines a topology","render the object correctly as topologi yang dihasilkan pada Y",verified,"the surrounding sentences and section title unambiguously define the quotient topology; no function is being introduced at that point"
